mode,n,species_accuracy,disease_accuracy,macro_f1,top3_accuracy,roc_auc_macro,pr_auc_macro,split
raw,3254,0.9950829748002459,0.9625076828518746,0.9626160400999317,0.9904732636754764,0.9960243415579785,0.9787515157727175,val
pred_species,3254,0.9950829748002459,0.9628149969268592,0.9629630553205515,0.9892440073755377,0.9960243415579785,0.9787515157727175,val
known_species,3254,0.9950829748002459,0.9665027658266748,0.9677244426261011,0.9938537185003073,0.9960243415579785,0.9787515157727175,val
raw,3259,0.9947836759742252,0.9601104633323105,0.9618328932488532,0.988646824179196,0.9963936569745364,0.9782650536257409,internal_test
pred_species,3259,0.9947836759742252,0.9616446762810679,0.9630022267609974,0.9868057686406874,0.9963936569745364,0.9782650536257409,internal_test
known_species,3259,0.9947836759742252,0.9653267873580853,0.9682271544742898,0.9911015648972077,0.9963936569745364,0.9782650536257409,internal_test
raw,1351,0.84159881569208,0.7157660991857883,0.7122296125635675,0.8830495928941525,0.9560961009063499,0.8121620318686965,development_external
pred_species,1351,0.84159881569208,0.7068837897853442,0.6983653729172377,0.8208734270910437,0.9560961009063499,0.8121620318686965,development_external
known_species,1351,0.84159881569208,0.8016284233900814,0.820453092795565,0.9504071058475203,0.9560961009063499,0.8121620318686965,development_external
