metric,raw,predicted_species,species_conditioned,gain_known_minus_raw
Accuracy,0.7157660991857883,0.7068837897853442,0.8023686158401184,0.08660251665433016
Macro-F1,0.7122296125635675,0.6983653729172377,0.8214822864927077,0.10925267392914018
ROC-AUC,0.9560945067818253,0.9560945067818253,0.9560945067818253,0.0
PR-AUC,0.8122236456419397,0.8122236456419397,0.8122236456419397,0.0
Top-3,0.8830495928941525,0.8208734270910437,0.9504071058475203,0.06735751295336778
