split,bin,center,accuracy,confidence,n
development_external,0,0.03333333333333333,,,0
development_external,1,0.1,,,0
development_external,2,0.16666666666666669,0.3333333333333333,0.19169342667495734,3
development_external,3,0.23333333333333334,0.3333333333333333,0.24155838044503522,9
development_external,4,0.3,0.125,0.2981630443265382,24
development_external,5,0.3666666666666667,0.5161290322580645,0.3647389254360711,31
development_external,6,0.43333333333333335,0.5588235294117647,0.4319810267596839,34
development_external,7,0.5,0.5641025641025641,0.5030140787758165,39
development_external,8,0.5666666666666667,0.5185185185185185,0.5667474578690425,54
development_external,9,0.6333333333333333,0.5833333333333334,0.6313121536605997,36
development_external,10,0.7,0.7777777777777778,0.696520727140188,36
development_external,11,0.7666666666666666,0.673469387755102,0.7675270580583392,49
development_external,12,0.8333333333333334,0.7073170731707317,0.8328412467691108,41
development_external,13,0.9,0.7307692307692307,0.9020116974324168,78
development_external,14,0.9666666666666667,0.8985823336968375,0.9873554012805624,917
