split,split_name,species,species_display,n,accuracy,macro_f1,f1_ci_low,f1_ci_high
val,Validation,Cat,Cat,474,0.9873417721518988,0.9875882592318838,0.9764280561155212,0.9962043506998285
val,Validation,Cattles,Cattle,979,0.9693564862104188,0.9728534216298765,0.9613120506198947,0.9825751977722497
val,Validation,Dog,Dog,1088,0.9549632352941176,0.9543515226404197,0.9414639148736044,0.9665810605997748
internal_test,Internal test,Cat,Cat,470,0.9851063829787234,0.9848881707035368,0.9736867768578553,0.9940605353392559
internal_test,Internal test,Cattles,Cattle,981,0.9694189602446484,0.9769083164644558,0.967395996151258,0.9855037199687307
internal_test,Internal test,Dog,Dog,1091,0.9660861594867094,0.9657763546588625,0.9531709280502432,0.9754081705600851
development_external,Development external,Cat,Cat,524,0.7461832061068703,0.7527539429673642,0.7148947423586882,0.7860419699738391
development_external,Development external,Cattles,Cattle,394,0.751269035532995,0.7547996333158722,0.7121757089741444,0.796812827461608
development_external,Development external,Dog,Dog,433,0.9168591224018475,0.9235519566064692,0.8993717288062207,0.9470705208119212
