mode,n,species_accuracy,disease_accuracy,macro_f1,top3_accuracy,roc_auc_macro,pr_auc_macro,model_key,model_name,split,split_name,mode_name,disease_accuracy_ci_low,disease_accuracy_ci_high,macro_f1_ci_low,macro_f1_ci_high,roc_auc_micro,pr_auc_micro,roc_auc_macro_ci_low,roc_auc_macro_ci_high,pr_auc_macro_ci_low,pr_auc_macro_ci_high
raw,2541,0.9944903581267218,0.9626131444313263,0.9639849168205389,0.9885871704053523,0.9961797060320963,0.9774894535705906,vetderm_mobile,VetDerm-Mobile,val,Validation,Disease-only,0.9551357733175915,0.9702971271153089,0.9563088512842439,0.9705764331884777,0.9966615742670266,0.9774908665302905,,,,
pred_species,2541,0.9944903581267218,0.9626131444313263,0.9638866627539608,0.987012987012987,0.9961797060320963,0.9774894535705906,vetderm_mobile,VetDerm-Mobile,val,Validation,Predicted-species,0.9557162534435262,0.9693034238488784,0.9563183248409916,0.9707547856365578,0.9966615742670266,0.9774908665302905,,,,
known_species,2541,0.9944903581267218,0.9665486029122393,0.9691339899492541,0.9921290830381739,0.9961797060320963,0.9774894535705906,vetderm_mobile,VetDerm-Mobile,val,Validation,Species-conditioned,0.9598583234946871,0.9732388823297914,0.9627845812094133,0.9755517327203498,0.9966615742670266,0.9774908665302905,0.9941375899696009,0.9979732096561751,0.9697270764658726,0.9851471066111542
raw,2542,0.9948859166011015,0.9657749803304485,0.9681653042055258,0.9917387883556255,0.9969625962722248,0.9819241178552844,vetderm_mobile,VetDerm-Mobile,internal_test,Internal test,Disease-only,0.9583005507474429,0.9720692368214005,0.9601016512526022,0.9745618743232098,0.9969751216540869,0.979784801104583,,,,
pred_species,2542,0.9948859166011015,0.9673485444531865,0.9698864583213359,0.9901652242328874,0.9969625962722248,0.9819241178552844,vetderm_mobile,VetDerm-Mobile,internal_test,Internal test,Predicted-species,0.9602675059008655,0.9738493312352478,0.9626106814372302,0.9758943641989232,0.9969751216540869,0.979784801104583,,,,
known_species,2542,0.9948859166011015,0.970889063729347,0.9744174340446534,0.9940991345397325,0.9969625962722248,0.9819241178552844,vetderm_mobile,VetDerm-Mobile,internal_test,Internal test,Species-conditioned,0.963808025177026,0.9781766325727773,0.9674978342330663,0.9804079668013271,0.9969751216540869,0.979784801104583,0.995072154300157,0.9985725643224557,0.9738810843590755,0.9890521892533289
raw,1351,0.84159881569208,0.7157660991857883,0.7122296125635675,0.8830495928941525,0.9560945067818253,0.8122236456419397,vetderm_mobile,VetDerm-Mobile,development_external,Development external,Disease-only,0.691339748334567,0.739840858623242,0.6894357608579237,0.7353409900802339,0.9437234888407114,0.7782932173945125,,,,
pred_species,1351,0.84159881569208,0.7068837897853442,0.6983653729172377,0.8208734270910437,0.9560945067818253,0.8122236456419397,vetderm_mobile,VetDerm-Mobile,development_external,Development external,Predicted-species,0.6835492227979275,0.7320503330866025,0.675185113802167,0.7198969897554471,0.9437234888407114,0.7782932173945125,,,,
known_species,1351,0.84159881569208,0.8023686158401184,0.8214822864927077,0.9504071058475203,0.9560945067818253,0.8122236456419397,vetderm_mobile,VetDerm-Mobile,development_external,Development external,Species-conditioned,0.7812546262028127,0.8223538119911177,0.8034035199885837,0.8397947222308985,0.9437234888407114,0.7782932173945125,0.9486339103883566,0.9622316990167918,0.7934932182184664,0.8330974599411194
