recall,precision,precision_ci_low,precision_ci_high
0.0,1.0,1.0,1.0
0.005025125628140704,1.0,1.0,1.0
0.010050251256281407,1.0,1.0,1.0
0.01507537688442211,1.0,1.0,1.0
0.020100502512562814,1.0,0.9260474787731762,1.0
0.02512562814070352,1.0,0.8509874778752059,1.0
0.03015075376884422,0.9531934311646828,0.8408349028695195,1.0
0.035175879396984924,0.9223568824514731,0.85587850156574,1.0
0.04020100502512563,0.9156942906623513,0.8578112594911876,0.9819126746585592
0.04522613065326633,0.9243560634470407,0.8712536975976706,0.9683038206907554
0.05025125628140704,0.9314016811607504,0.8715914547472822,0.9713827938866173
0.05527638190954774,0.9256281407035176,0.8615531547069751,0.9739160601366367
0.06030150753768844,0.9208722365658732,0.8716012997457222,0.9760309320886641
0.06532663316582915,0.9265124966939963,0.8802864595761186,0.9752391972740697
0.07035175879396985,0.9223638731371571,0.887663431309077,0.969401739681711
0.07537688442211056,0.9271620823047682,0.8867847779767292,0.971382143019558
0.08040201005025126,0.9314017775289652,0.8931062623471453,0.973122532579976
0.08542713567839195,0.9351754840291149,0.8987580862255488,0.9746632321270217
0.09045226130653267,0.9314023273898988,0.890670397392211,0.976037082483246
0.09547738693467336,0.9347778243805508,0.8958259607898649,0.9772683561406891
0.10050251256281408,0.937835730376018,0.9003589306281902,0.9713831232214515
0.10552763819095477,0.9310084255865796,0.8990958294377708,0.9727085712787215
0.11055276381909548,0.9314023533818159,0.9032340483985208,0.9739163877578912
0.11557788944723618,0.9341888727928207,0.9018163336685188,0.9750206892838289
0.12060301507537688,0.9367577372611513,0.9053906156727527,0.9703717336126664
0.12562814070351758,0.9391332043890416,0.908832902245185,0.9713829327498756
0.1306532663316583,0.9387835536224539,0.902818908777272,0.9671904101094706
0.135678391959799,0.9385562033085364,0.9016234107776718,0.9683040816982778
0.1407035175879397,0.9314028295470658,0.9005161982397133,0.9646061983952747
0.1457286432160804,0.9336111838814928,0.903614158247473,0.9657328235419949
0.15075376884422112,0.9314026460062029,0.9063225432651592,0.9667717580245103
0.15577889447236182,0.9293461577114844,0.8976345592807274,0.9678082557731946
0.16080402010050251,0.930426582735612,0.8931111994505814,0.9603267627887727
0.1658291457286432,0.9294708341612041,0.8889026490815097,0.9614791548165144
0.1708542713567839,0.9202626679212796,0.8897326161585302,0.9584758161485157
0.17587939698492464,0.9223639083421208,0.8911415051874058,0.9558508584706717
0.18090452261306533,0.9208744816435703,0.8906701338862143,0.9569300989702861
0.18592964824120603,0.9228481206939676,0.8900664864428379,0.9580445605671598
0.19095477386934673,0.9214229107647813,0.886590077331873,0.9520259361261799
0.19597989949748745,0.9200745670863025,0.8891008698005777,0.9506372047929953
0.20100502512562815,0.9219166279917981,0.8887271300701726,0.9509726722640134
0.20603015075376885,0.9236757703281762,0.8911181734619639,0.9521095313865419
0.21105527638190955,0.9223640910471557,0.8890094970815577,0.9500224633099271
0.21608040201005024,0.9240324588584877,0.8874498251516304,0.9481164123095936
0.22110552763819097,0.919929276009678,0.8870501618476837,0.9491596551674543
0.22613065326633167,0.9215690434848138,0.8854728588300644,0.9502318966342849
0.23115577889447236,0.9150284874321014,0.8844476863054013,0.9483736361060594
0.23618090452261306,0.9140598613205199,0.8860125270007765,0.9465993247208854
0.24120603015075376,0.9156993226935437,0.885972892543936,0.944975314615224
0.24623115577889448,0.9172773598140008,0.8831216621829975,0.9459698954903684
0.25125628140703515,0.9138503286510516,0.8823933193825548,0.9469928065045564
0.2562814070351759,0.9153966703588162,0.8827191828601206,0.9402555547292205
0.2613065326633166,0.9145133225270022,0.8846637120902546,0.9413364423392985
0.2663316582914573,0.9159907067664228,0.8865926237294164,0.9399800627820588
0.271356783919598,0.915127821150641,0.8884577955677,0.9409654561118823
0.2763819095477387,0.9156636948038944,0.8902113691175855,0.9419763157750441
0.2814070351758794,0.9156993261022442,0.8919591953336746,0.9406204044879806
0.2864321608040201,0.917055671576466,0.8916457336455312,0.9416015452015284
0.2914572864321608,0.9183689398783561,0.8933147943452285,0.9425502775504904
0.2964824120603015,0.9196413099982672,0.894933025806732,0.9413075032802424
0.30150753768844224,0.9208746612442825,0.8965031418894346,0.9422292327047505
0.3065326633165829,0.9220707596383303,0.896132076120967,0.9430686145254757
0.31155778894472363,0.9232312032497169,0.8976354663000795,0.9439353802628425
0.3165829145728643,0.9209685530231337,0.8990486999361923,0.9447759780824108
0.32160804020100503,0.921525698592643,0.8968316900995886,0.9415452138514459
0.32663316582914576,0.9226396173177275,0.8981339091303395,0.9423421240069851
0.3316582914572864,0.9237223835012319,0.8977638542113721,0.9412346746486291
0.33668341708542715,0.923163281322772,0.8974073174288503,0.9420120628399076
0.3417085427135678,0.9202627798118551,0.8987195179142307,0.9428157334444845
0.34673366834170855,0.9213274733427669,0.900039013091556,0.9435969569545276
0.35175879396984927,0.9223641349670003,0.8978794805153575,0.9425328873394875
0.35678391959798994,0.9233738563074635,0.8958721332861203,0.943250200109393
0.36180904522613067,0.9226128502483169,0.8955668553474095,0.9421742387094414
0.36683417085427134,0.9218739123542365,0.8968498504281576,0.9411308665736582
0.37185929648241206,0.922848219782127,0.8933106788676876,0.9401617415707629
0.3768844221105528,0.9204585346352997,0.8914509829629957,0.9408688561523129
0.38190954773869346,0.9197803379003497,0.8897080115058449,0.9416011845443644
0.3869346733668342,0.9207395405374739,0.8894084078256391,0.9407673612057527
0.3919597989949749,0.9216760975000742,0.8891750649837292,0.9397085420575068
0.3969849246231156,0.916286003982164,0.8860118857934217,0.940384998702302
0.4020100502512563,0.912621989877196,0.8857670173725883,0.937876775924569
0.40703517587939697,0.9136075399690422,0.8842265750991511,0.9369573273892439
0.4120603015075377,0.9130710214779515,0.8854173021341937,0.9376781860542557
0.4170854271356784,0.9110725950701272,0.8825337468000855,0.9368227142422968
0.4221105527638191,0.9105818466654934,0.8810390159413103,0.9358706883885557
0.4271356783919598,0.9114542247629034,0.8795507568066362,0.9336634104859824
0.4321608040201005,0.9096360736033724,0.8794906769578141,0.9329284511905965
0.4371859296482412,0.9063897205060671,0.8780919029449945,0.9321747191199794
0.44221105527638194,0.9046071369085836,0.8766966671714677,0.9328571328248818
0.4472361809045226,0.9042225619293446,0.8753740177374948,0.9292899138139555
0.45226130653266333,0.9051791700996366,0.8728269229121739,0.928571813136292
0.457286432160804,0.8998036752467915,0.8733108497805067,0.926548792038827
0.4623115577889447,0.8979272863116542,0.8720682957601074,0.9259488478296654
0.46733668341708545,0.8976358905610426,0.8715526858969335,0.924804111302863
0.4723618090452261,0.8986144844385953,0.8715831397266475,0.9223813716122797
0.47738693467336685,0.8970720735760267,0.871009943372345,0.9227412116291395
0.4824120603015075,0.8934329180147312,0.8692586001137538,0.9196078885384527
0.48743718592964824,0.8928853210243782,0.8690581965265308,0.9184291011591613
0.49246231155778897,0.8910895821885877,0.8670508804566164,0.9185555630521112
0.49748743718592964,0.8900815704719328,0.8659964111664195,0.9192999838500471
0.5025125628140703,0.8910610110436781,0.8653239417643822,0.9163173528949778
0.507537688442211,0.8908641802225454,0.8649335973818847,0.9154169444225971
0.5125628140703518,0.8906713097202821,0.8628698136757559,0.9151188940758017
0.5175879396984925,0.8870932432002969,0.8619163901985518,0.9149502430920559
0.5226130653266332,0.8858290218399223,0.8616452992678301,0.9144554332694924
0.5276381909547738,0.8834959680065411,0.8579748535045637,0.9134484508718247
0.5326633165829145,0.8827022814607799,0.8580755957660423,0.9125431210791249
0.5376884422110553,0.8832708655961736,0.8561743607670904,0.911019747261139
0.542713567839196,0.8810390458850722,0.8523609086880746,0.9105835129378714
0.5477386934673367,0.8820016762092655,0.8534434481952989,0.9080302557536566
0.5527638190954774,0.8798280438126361,0.8506880605316018,0.905744142834682
0.5577889447236181,0.8777039908629171,0.8461660455191186,0.9062559570098693
0.5628140703517588,0.8776492321199885,0.8453755250516038,0.9069883735689126
0.5678391959798995,0.8726043081266296,0.8428796354894775,0.9045622590661132
0.5728643216080402,0.8658212663219791,0.8412047679356168,0.9031434611063446
0.577889447236181,0.864854150211738,0.8352259451239334,0.9009306974112267
0.5829145728643216,0.8630162978378374,0.8311156548985922,0.8995135845705612
0.5879396984924623,0.8574985406739009,0.8292789074744846,0.897210535928231
0.592964824120603,0.8556098671451794,0.8274123876459291,0.8939419834022118
0.5979899497487438,0.8515083297287995,0.8252901068731512,0.8898537923019654
0.6030150753768845,0.8488914365024254,0.824778271954309,0.8868415741898424
0.6080402010050251,0.8482129482969951,0.8242347991630214,0.8804896783423991
0.6130653266331658,0.8449376843233414,0.8188129439496468,0.8782217694953913
0.6180904522613065,0.8450452274432105,0.8169916109597514,0.8753132678786772
0.6231155778894473,0.8421170985186454,0.8127142857721669,0.8734441857545061
0.628140703517588,0.8391891264721839,0.806185461552098,0.869002364426403
0.6331658291457286,0.8391221245058056,0.8040275010669157,0.8670787169697086
0.6381909547738693,0.8333720421726674,0.7974169493012424,0.8646638084170453
0.6432160804020101,0.8300119641119672,0.7950386007372919,0.8638150526371088
