fpr,tpr,tpr_ci_low,tpr_ci_high
0.0,0.025906735751295335,0.0,0.0
0.005025125628140704,0.4374537379718727,0.3803663952627683,0.49892672094744633
0.010050251256281407,0.5788304959289415,0.5424685418208735,0.6166913397483346
0.01507537688442211,0.6447076239822354,0.606920799407846,0.6832161361954108
0.020100502512562814,0.6935603256846781,0.6602331606217617,0.7283678756476684
0.02512562814070352,0.7187268689859363,0.6950222057735012,0.7491302738712065
0.03015075376884422,0.7350111028867505,0.7105847520355293,0.7668948926720947
0.035175879396984924,0.7542561065877128,0.7290895632864545,0.783900814211695
0.04020100502512563,0.7698001480384901,0.7446150999259809,0.7942450037009622
0.04522613065326633,0.7860843819393042,0.7549777942264989,0.8090303478904515
0.05025125628140704,0.7964470762398224,0.7696891191709845,0.8186898593634345
0.05527638190954774,0.8060695780903034,0.7801443375277572,0.8268319763138416
0.06030150753768844,0.8119911176905995,0.7897298297557366,0.8364174685418209
0.06532663316582915,0.8208734270910437,0.7985566247224278,0.8430792005921539
0.07035175879396985,0.8267949666913398,0.8038304959289416,0.8497594374537379
0.07537688442211056,0.8349370836417469,0.8126572908956329,0.8571428571428571
0.08040201005025126,0.840858623242043,0.8193930421909696,0.8623242042931162
0.08542713567839195,0.846780162842339,0.8245743893412287,0.8682457438934122
0.09045226130653267,0.8527017024426351,0.8304774241302739,0.8734270910436713
0.09547738693467336,0.8556624722427831,0.835640266469282,0.8756476683937824
0.10050251256281408,0.8586232420429312,0.839341228719467,0.8786269430051813
0.10552763819095477,0.8630643967431533,0.8430792005921539,0.8823094004441154
0.11055276381909548,0.8652849740932642,0.8467246484085863,0.8860103626943006
0.11557788944723618,0.8667653589933383,0.8482420429311621,0.8882309400444115
0.12060301507537688,0.8719467061435974,0.8526831976313842,0.8912102146558105
0.12562814070351758,0.8749074759437454,0.8548852701702443,0.8934122871946706
0.1306532663316583,0.8778682457438934,0.8586047372316803,0.8971502590673576
0.135678391959799,0.8800888230940045,0.8601036269430051,0.9000740192450037
0.1407035175879397,0.8837897853441895,0.8623056994818653,0.9037749814951888
0.1457286432160804,0.8889711324944486,0.8667098445595856,0.9074759437453738
0.15075376884422112,0.8926720947446336,0.8711880088823094,0.9082161361954109
0.15577889447236182,0.8941524796447077,0.8749074759437454,0.9096965210954848
0.16080402010050251,0.8948926720947447,0.8771280532938565,0.9104552183567728
0.1658291457286432,0.8948926720947447,0.8785899333826795,0.9126572908956329
0.1708542713567839,0.8971132494448557,0.8793486306439674,0.9134159881569208
0.17587939698492464,0.8993338267949667,0.8808105107327906,0.9156365655070318
0.18090452261306533,0.9015544041450777,0.8837712805329386,0.92079940784604
0.18592964824120603,0.9059955588452998,0.8845299777942265,0.9222982975573649
0.19095477386934673,0.9096965210954848,0.8904515173945226,0.926720947446336
0.19597989949748745,0.9156180606957809,0.8933752775721687,0.927461139896373
0.20100502512562815,0.9163582531458179,0.8978349370836418,0.928960029607698
0.20603015075376885,0.917098445595855,0.9000740192450037,0.9319022945965951
0.21105527638190955,0.921539600296077,0.9059770540340489,0.9334011843079201
0.21608040201005024,0.9222797927461139,0.9074574389341229,0.934141376757957
0.22110552763819097,0.923019985196151,0.90819763138416,0.935621761658031
0.22613065326633167,0.924500370096225,0.9096965210954848,0.9378238341968912
0.23115577889447236,0.927461139896373,0.9126017764618801,0.9393227239082161
0.23618090452261306,0.9289415247964471,0.913378978534419,0.9415247964470762
0.24120603015075376,0.9319022945965951,0.9148778682457439,0.9437453737971873
0.24623115577889448,0.9333826794966691,0.9178386380458919,0.9452257586972613
0.25125628140703515,0.9363434492968171,0.920059215396003,0.9467061435973353
0.2562814070351759,0.9363434492968171,0.9222797927461139,0.9481865284974094
0.2613065326633166,0.9385640266469282,0.9252035529237602,0.9496669133974833
0.2663316582914573,0.9400444115470022,0.9259622501850482,0.9518874907475944
0.271356783919598,0.9422649888971133,0.9274426350851221,0.9526646928201332
0.2763819095477387,0.9422649888971133,0.9304034048852702,0.9548482605477424
0.2814070351758794,0.9422649888971133,0.9311435973353073,0.9548482605477424
0.2864321608040201,0.9444855662472242,0.9318837897853443,0.9548482605477424
0.2914572864321608,0.9444855662472242,0.9326424870466321,0.9563286454478165
0.2964824120603015,0.9452257586972613,0.9333826794966691,0.9570873427091043
0.30150753768844224,0.9459659511472983,0.9341228719467062,0.9585677276091784
0.3065326633165829,0.9474463360473723,0.9348630643967432,0.9600296076980015
0.31155778894472363,0.9504071058475203,0.9370281273131015,0.9615099925980755
0.3165829145728643,0.9511472982975574,0.9378053293856403,0.9630088823094004
0.32160804020100503,0.9526276831976314,0.9393042190969653,0.9637490747594374
0.32663316582914576,0.9526276831976314,0.9407660991857884,0.9644892672094745
0.3316582914572864,0.9533678756476683,0.9415062916358253,0.9652109548482606
0.33668341708542715,0.9555884529977794,0.9422464840858624,0.9652109548482606
0.3417085427135678,0.9555884529977794,0.9430051813471503,0.9659696521095484
0.34673366834170855,0.9555884529977794,0.9437268689859364,0.9659696521095484
0.35175879396984927,0.9555884529977794,0.9437453737971873,0.9666913397483345
0.35678391959798994,0.9570688378978535,0.9437453737971873,0.9666913397483345
0.36180904522613067,0.9570688378978535,0.9451887490747595,0.9667098445595854
0.36683417085427134,0.9578090303478904,0.9459659511472983,0.9667283493708364
0.37185929648241206,0.9585492227979274,0.9459659511472983,0.9674685418208734
0.3768844221105528,0.9592894152479645,0.9466876387860844,0.9674685418208734
0.38190954773869346,0.9592894152479645,0.9481495188749075,0.9689119170984456
0.3869346733668342,0.9600296076980015,0.9481865284974094,0.9696521095484826
0.3919597989949749,0.9607698001480385,0.9496299037749815,0.9704108068097705
0.3969849246231156,0.9622501850481125,0.9503515914137676,0.9718726868985936
0.4020100502512563,0.9629903774981495,0.9503700962250184,0.9733530717986677
0.40703517587939697,0.9644707623982235,0.9511287934863065,0.9741487786824574
0.4120603015075377,0.9659511472982976,0.9541080680977054,0.9748704663212435
0.4170854271356784,0.9666913397483345,0.9555699481865285,0.9770725388601036
0.4221105527638191,0.9681717246484086,0.9570318282753516,0.9770725388601036
0.4271356783919598,0.9681717246484086,0.9585492227979274,0.9777942264988897
0.4321608040201005,0.9711324944485566,0.9585492227979274,0.9792746113989638
0.4371859296482412,0.9711324944485566,0.9607512953367876,0.9800518134715026
0.44221105527638194,0.9711324944485566,0.9614729829755736,0.9807735011102886
0.4472361809045226,0.9711324944485566,0.9622316802368617,0.9807735011102886
0.45226130653266333,0.9718726868985936,0.9622316802368617,0.9807735011102886
0.457286432160804,0.9726128793486306,0.9629718726868987,0.9814951887490747
0.4623115577889447,0.9726128793486306,0.9629718726868987,0.9815136935603257
0.46733668341708545,0.9726128793486306,0.9637305699481865,0.9822353811991118
0.4723618090452261,0.9733530717986677,0.9644522575869726,0.9822538860103627
0.47738693467336685,0.9755736491487786,0.9644707623982235,0.9837157660991858
0.4824120603015075,0.9755736491487786,0.9652109548482606,0.9837342709104366
0.48743718592964824,0.9763138415988157,0.9659511472982976,0.9837342709104366
0.49246231155778897,0.9770540340488527,0.9674130273871206,0.9844559585492227
0.49748743718592964,0.9770540340488527,0.9681717246484086,0.9844559585492227
0.5025125628140703,0.9777942264988897,0.9696336047372317,0.9844744633604737
0.507537688442211,0.9785344189489267,0.9696336047372317,0.9851961509992598
0.5125628140703518,0.9785344189489267,0.9703737971872688,0.9851961509992598
0.5175879396984925,0.9785344189489267,0.9703923019985197,0.9852146558105107
0.5226130653266332,0.9785344189489267,0.9703923019985197,0.9866765358993338
0.5276381909547738,0.9807549962990377,0.9711139896373058,0.9866950407105848
0.5326633165829145,0.9814951887490747,0.9725943745373797,0.9874352331606218
0.5376884422110553,0.9822353811991118,0.9726128793486306,0.9881569207994079
0.542713567839196,0.9822353811991118,0.9733345669874168,0.9881754256106587
0.5477386934673367,0.9822353811991118,0.9748149518874908,0.9881754256106587
0.5527638190954774,0.9822353811991118,0.9748334566987417,0.9881939304219097
0.5577889447236181,0.9837157660991858,0.9762953367875649,0.9896373056994818
0.5628140703517588,0.9837157660991858,0.9770355292376018,0.9896373056994818
0.5678391959798995,0.9844559585492227,0.9770540340488527,0.9896558105107328
0.5728643216080402,0.9844559585492227,0.9777942264988897,0.9896558105107328
0.577889447236181,0.9844559585492227,0.9777942264988897,0.9896558105107328
0.5829145728643216,0.9844559585492227,0.9777942264988897,0.9896558105107328
0.5879396984924623,0.9844559585492227,0.9777942264988897,0.9903960029607698
0.592964824120603,0.9844559585492227,0.9777942264988897,0.9903960029607698
0.5979899497487438,0.9844559585492227,0.9777942264988897,0.9903960029607698
0.6030150753768845,0.9844559585492227,0.9777942264988897,0.9903960029607698
0.6080402010050251,0.9844559585492227,0.9777942264988897,0.9903960029607698
0.6130653266331658,0.9844559585492227,0.9777942264988897,0.9911176905995559
0.6180904522613065,0.9851961509992598,0.9777942264988897,0.9911176905995559
0.6231155778894473,0.9851961509992598,0.9785344189489267,0.9911361954108068
0.628140703517588,0.9851961509992598,0.9785344189489267,0.9911361954108068
0.6331658291457286,0.9859363434492968,0.9785344189489267,0.9911361954108068
0.6381909547738693,0.9859363434492968,0.9792561065877129,0.9911361954108068
0.6432160804020101,0.9859363434492968,0.9792561065877129,0.9918763878608438
0.6482412060301508,0.9866765358993338,0.9799962990377499,0.9918763878608438
0.6532663316582915,0.9866765358993338,0.9799962990377499,0.9918763878608438
0.6582914572864321,0.9866765358993338,0.9799962990377499,0.9918763878608438
0.6633165829145728,0.9874167283493709,0.9807549962990377,0.9925980754996299
0.6683417085427136,0.9874167283493709,0.9807549962990377,0.9925980754996299
0.6733668341708543,0.9874167283493709,0.9807549962990377,0.9925980754996299
0.678391959798995,0.9874167283493709,0.9807549962990377,0.9925980754996299
0.6834170854271356,0.9874167283493709,0.9807549962990377,0.9925980754996299
0.6884422110552764,0.9874167283493709,0.9807549962990377,0.9925980754996299
0.6934673366834171,0.9874167283493709,0.9807549962990377,0.9925980754996299
0.6984924623115578,0.9874167283493709,0.9814766839378238,0.9925980754996299
0.7035175879396985,0.9881569207994079,0.9814766839378238,0.9926165803108808
0.7085427135678392,0.9881569207994079,0.9814766839378238,0.9926165803108808
0.7135678391959799,0.9881569207994079,0.9814766839378238,0.993338267949667
0.7185929648241206,0.9881569207994079,0.9814951887490747,0.993338267949667
0.7236180904522613,0.9881569207994079,0.9822168763878609,0.993338267949667
0.7286432160804021,0.9881569207994079,0.9822353811991118,0.9933567727609178
0.7336683417085427,0.9888971132494448,0.9822353811991118,0.9933567727609178
0.7386934673366834,0.9888971132494448,0.9822353811991118,0.9933567727609178
0.7437185929648241,0.9888971132494448,0.9829755736491488,0.9940784603997039
0.7487437185929648,0.9888971132494448,0.9829755736491488,0.9940784603997039
0.7537688442211056,0.9888971132494448,0.9837157660991858,0.9940969652109548
0.7587939698492463,0.9896373056994818,0.9837157660991858,0.9955588452997779
0.7638190954773869,0.9903774981495189,0.9844559585492227,0.9955588452997779
0.7688442211055276,0.9903774981495189,0.9851961509992598,0.9955588452997779
0.7738693467336684,0.9911176905995559,0.9851961509992598,0.9955588452997779
0.7788944723618091,0.9911176905995559,0.9851961509992598,0.9955773501110289
0.7839195979899498,0.9911176905995559,0.9851961509992598,0.9955773501110289
0.7889447236180904,0.9911176905995559,0.9851961509992598,0.996299037749815
0.7939698492462312,0.9911176905995559,0.9851961509992598,0.996299037749815
0.7989949748743719,0.9911176905995559,0.9851961509992598,0.996299037749815
0.8040201005025126,0.9911176905995559,0.9851961509992598,0.996299037749815
0.8090452261306533,0.9911176905995559,0.9851961509992598,0.996299037749815
0.8140703517587939,0.9911176905995559,0.9851961509992598,0.996299037749815
0.8190954773869347,0.9911176905995559,0.9851961509992598,0.996299037749815
0.8241206030150754,0.9911176905995559,0.9851961509992598,0.996299037749815
0.8291457286432161,0.9911176905995559,0.9851961509992598,0.996299037749815
0.8341708542713568,0.9911176905995559,0.9851961509992598,0.996299037749815
0.8391959798994975,0.9911176905995559,0.9851961509992598,0.996299037749815
0.8442211055276382,0.9911176905995559,0.9851961509992598,0.996299037749815
0.8492462311557789,0.9911176905995559,0.9851961509992598,0.996299037749815
0.8542713567839196,0.9911176905995559,0.9851961509992598,0.996299037749815
0.8592964824120604,0.9911176905995559,0.9851961509992598,0.996299037749815
0.864321608040201,0.9911176905995559,0.9851961509992598,0.996299037749815
0.8693467336683417,0.9911176905995559,0.9851961509992598,0.996299037749815
0.8743718592964824,0.9911176905995559,0.9859363434492968,0.996299037749815
0.8793969849246231,0.9918578830495929,0.9859363434492968,0.996299037749815
0.8844221105527639,0.9918578830495929,0.9859363434492968,0.996299037749815
0.8894472361809045,0.9918578830495929,0.9859363434492968,0.9963175425610659
0.8944723618090452,0.9925980754996299,0.9866765358993338,0.9963175425610659
0.8994974874371859,0.9925980754996299,0.9866765358993338,0.997039230199852
0.9045226130653267,0.9925980754996299,0.98739822353812,0.997779422649889
0.9095477386934674,0.993338267949667,0.9874167283493709,0.997779422649889
0.914572864321608,0.993338267949667,0.988878608438194,0.997779422649889
0.9195979899497487,0.993338267949667,0.9888971132494448,0.997779422649889
0.9246231155778895,0.993338267949667,0.9888971132494448,0.997779422649889
0.9296482412060302,0.9940784603997039,0.9888971132494448,0.9977979274611398
0.9346733668341709,0.9948186528497409,0.9896373056994818,0.9985196150999259
0.9396984924623115,0.9948186528497409,0.9903774981495189,0.9985196150999259
0.9447236180904522,0.9948186528497409,0.9903774981495189,0.9985196150999259
0.949748743718593,0.9948186528497409,0.9903774981495189,0.9985196150999259
0.9547738693467337,0.9955588452997779,0.991839378238342,0.999259807549963
0.9597989949748744,0.996299037749815,0.9925980754996299,0.999259807549963
0.964824120603015,0.997039230199852,0.9933197631384161,1.0
0.9698492462311558,0.997779422649889,0.99480014803849,1.0
0.9748743718592965,0.997779422649889,0.99480014803849,1.0
0.9798994974874372,0.9985196150999259,0.9955588452997779,1.0
0.9849246231155779,0.9985196150999259,0.996299037749815,1.0
0.9899497487437187,0.9985196150999259,0.996299037749815,1.0
0.9949748743718593,0.999259807549963,0.9970207253886011,1.0
1.0,1.0,1.0,1.0
