split,n,rejected_n,reject_rate,domain_score_mean,domain_score_median
val,3254,163,0.0500921942224953,0.9611279368400574,0.9755858182907104
internal_test,3259,151,0.04633323105247,0.9622755646705629,0.975946307182312
development_external,1351,391,0.2894152479644707,0.8968753218650818,0.9511489868164062
ood,75,66,0.88,0.7327447533607483,0.7441666126251221
