variant,split,n,size_mb,peak_rss_mb,species_accuracy_pct,disease_accuracy_pct,macro_f1_pct,top3_accuracy_pct,roc_auc_macro,pr_auc_macro,latency_ms_mean,latency_ms_median,latency_ms_p95,throughput_img_s,species_agreement_pct,known_species_disease_agreement_pct
fp16,val,3254,15.567672729492188,1179.56640625,99.5082974800246,96.65027658266749,96.77244426261012,99.38537185003072,0.9960265202457268,0.9787669967642412,113.27055661644862,112.97900089994071,116.48521019378676,8.82841958114634,100.0,100.0
fp16,internal_test,3259,15.567672729492188,1179.56640625,99.47836759742252,96.53267873580852,96.82271544742898,99.11015648972075,0.9963970497950144,0.9783103722887018,113.43597305679124,113.02480706945062,117.85627386998384,8.815545660276166,100.0,100.0
fp16,development_external,1351,15.567672729492188,1179.56640625,84.159881569208,80.01480384900074,81.90414088007266,95.04071058475205,0.9560865680645804,0.8121212946918865,112.63353238606082,112.41635400801896,115.49787386320531,8.878350690204908,100.0,99.8519615099926
int8_weightonly,val,3254,9.947723388671875,1193.2890625,99.47756607252613,96.68100799016595,96.80072814826164,99.35464044253229,0.9960575943335626,0.9783662244195432,40.60337980925812,40.28082545846701,43.09163136640564,24.628491635368405,99.96926859250154,99.78488014751076
int8_weightonly,internal_test,3259,9.947723388671875,1193.2890625,99.47836759742252,96.62473151273396,96.98378567667983,99.07947223074562,0.9962768970024544,0.9782764852345286,40.45563085097848,40.22125503979623,42.87028850521892,24.71843792730805,99.93863148204973,99.69315741024856
int8_weightonly,development_external,1351,9.947723388671875,1193.2890625,84.01184307920059,79.94078460399705,81.87029692692107,95.18874907475944,0.9567111926520946,0.8145052001783487,40.71874785833998,40.53337010554969,43.32456749398261,24.55871195939,99.48186528497408,98.8156920799408
